,equipe_dom,equipe_ext,cote_dom,cote_nul,cote_ext,score,but_dom,but_ext,total_buts,resultat
298,Newcastle,Liverpool,1.8,4.17,3.8,1-2,1.0,2.0,3.0,E
299,Spurs,West Ham,1.62,4.58,4.46,1-1,1.0,1.0,2.0,N
300,Bournemouth,Brentford,2.64,3.21,2.7,2-0,2.0,0.0,2.0,D
301,Wolverhampton,Liverpool,3.7,3.89,1.88,2-1,2.0,1.0,3.0,D
302,C. Palace,Leeds,1.45,4.34,7.16,2-0,2.0,0.0,2.0,D
303,Everton,Sunderland,1.85,3.5700000000000003,4.19,2-2,2.0,2.0,4.0,N
304,Brighton,A. Villa,1.76,3.94,4.18,0-1,0.0,1.0,1.0,E
305,N. Forest,Manchester Blue,4.03,3.5,1.9,0-2,0.0,2.0,2.0,E
306,Spurs,Manchester Red,1.82,4.13,3.72,2-2,2.0,2.0,4.0,N
307,London Blues,Newcastle,1.94,3.87,3.48,2-0,2.0,0.0,2.0,D
308,London Reds,Fulham,1.41,4.98,6.76,2-2,2.0,2.0,4.0,N
309,Burnley,West Ham,2.73,3.37,2.52,1-2,1.0,2.0,3.0,E
310,Leeds,N. Forest,3.68,3.71,1.93,1-2,1.0,2.0,3.0,E
311,West Ham,Wolverhampton,1.81,3.9,4.01,2-2,2.0,2.0,4.0,N
312,Bournemouth,Everton,2.04,3.11,4.04,0-2,0.0,2.0,2.0,E
